너무
흑흑
슬프고
속상해요
슬퍼요
외롭다
속상하고
으앙
미안하다
정말
진짜
슬퍼서
제
죄책
노래
이
요
슬플때
서러워요
울고
아
영어로
우울하다
아이고
울다
좀
저
슬픈데
어떻게
때
외톨이
눈물이
심
아깝다
사랑한다
때문에
불쌍하다
도와주세요
하다
왜
아쉽다
괴롭다
그냥
요즘
슬플
서럽고
상실
사
서럽다
알려주세요
를
친구
자기
의
내
라는
애절한
추천
속상한데
부끄럽다
속상해
제발
힘들고
생
그대는
눈물겹다
많이
외톨이야
나
은
이거
하
좋은
이유없이
아웃사이더
힘들어요
안
내공
지금
안타깝다
아요
슴앓이
다
미안하다사랑한다
울고싶을때
마음이
뜻
영화
죄송하다
자꾸
일본어로
너무슬퍼요
뭔
와
울고싶어요
엄마
서러워
인
해주세요
아지
동적인
나는
잘
속상한
허무하다
안녕하세요
외롭고
서러울때
싶어요
펑펑
수
추천해주세요
슬퍼
여자
들으면
키
슴이
들어요
시
는
혼자
발라드
이유
저는
것
급해요
오늘
계속
그리워하다
넘
창피하다
답답하고
남자친구
차이
추천좀
불행하다
을
남자
은둔형
대한
울고싶은데
하는
무슨
눈물
2
나오는
하나요
있는
하면
나요
기분이
주세요
사좀
서러운
엄청
에
속앓이
해요
속상하다
애니
서운하다
듣는
안쓰럽다
화
짜증나고
더
너무너무
에서
비참하다
음악
막
없어서
싶은데
뜻이
있나요
난
위로
허전하다
그
전
질문
걱정하다
과
영어
부탁드립니다
없어요
보면
힘들다
스트레스
슬플땐
누
이런
인생이
죽겠어요
섭섭하다
아빠
어떡하죠
아파요
슬픈데요
쓸쓸하다
할
없이
힘들어서
한
부탁드려요
울상
팝송
있는데
사는게
노래좀
사랑
뭐
서
사랑한다에서
잔잔한
우는
억울하고
하고
싫어요
항상
인생
나서
슬프다
중
저희
있어요
공허하다
남자아이고
심란하다
빨리
엾다
여자친구
서운
너무속상하고
참
나와요
너무속상해요
유
슴
애틋하다
장
땜에
고
먹먹하다
그래서
여자아이고
고양이
후
추천좀요
암울하다
안나요
이렇게
법
힘들때
어
싶을때
비슷한
말
씨엔블루
해야
뭐라고
울고싶고
너무나
방법
은둔형외톨이
울분
꼭
뭐에요
다이어트
너무슬픈데
답답해요
초라하다
지
아이
저를
어떤
울고나면
눈
못
나고
표현
돌아
할때
문제
좋은노래
위로해주세요
아무
울분이
애
단어
못해서
울고싶다
속상한데요
꿈
짝사랑
꿈에서
고달프다
대해
친구한테
눈이
뭐죠
씁쓸하다
머리
아서
저좀
속상해죽겠어요
했는데
살려주세요
하는데
존나
부른
공부
미치겠어요
위로좀
귀
답답해서
완전
일본어
울
알고
슬플때는
눈물을
없고
돈
이제
봐주세요
으앙킬러
망연자실
우리
후회하다
꿈을
언제
중2
맨날
사는
는데
힘듭니다
어그로
어디
어쩌죠
무엇인
아쉽다를
질문입니다
때는
몽환적인
어떻하죠
삶이
죽고
친구관계
되면
웃음이
울분을
죽고싶어요
들어주세요
요새
이럴땐
약
불행하다고
있을까요
속상할때
울부짖다
부모님이
추천해
말이
건
그래요
말을
자신이
쫌
외로워요
하죠
흑
속상하거나
울고나서
죄송하다만
괴롭고
햄스터
눈물이나요
안되요
슬픈
짠하다
반대말
노래를
살기
매일
아련하다
아주
어제
울고있어요
화나고
대해서
그대는눈물겹다
습니다
울어요
다른
사람
정이
여러분은
보고
저기
죽으면
표현을
어요
이유는
제발요
사람은
해야하나요
그런
답변
생일인데
근데
탈모
나면
진
느낄때
방금
저희집
슬퍼보이는
날
소설
제목
서러울
1
목이
너
다시
저만
너무슬퍼서
컴퓨터
슬퍼서요
또
자다
깨서
합니다
모르겠어요
뭘까요
피아노
못해
싶다
끌었다
안나와요
차이점
아기
없는
애잔하다
영작
조금
하루
여드름
말은
엉엉
없어
자주
싶을
엄마때문에
기
그리고
죽고싶다
해도
못생겨서
스럽다
심하게
실망하다
청승맞다
흘리는
슬퍼여
요즘에
밤마다
학교에서
왕따
노트북
기분
절하다
뜻을
일어로
친구때문에
울고싶을
글
올립니다
게
피부
듭니다
100
지치고
여러분
멜로디
사람이
코로나
웃다
정도로
힘이
해
듣는노래
맞나요
짜증나요
번역
정말로
되나요
부탁
분위기
들고
없는데
많아요
배
우울
빠른
아휴
사랑한다에
못하고
죽을
죄송하다고
죽어서
미치겠습니다
죽을것
아깝다를
200
있어도
진짜로
엄마랑
면
브금
기쁠
고민좀
이게
사좀요
무서워요
무섭고
찡하다
그런데
눈에
곡
연애
있어서
라고
여친이
눈물이안나와요
어떡해요
오빠
아프고
원래
해서
3
처럼
로
울컥하다
만
조언좀
친구랑
지고
불어로
쓸쓸하고
두
좋아하는
처량하다
쓰는
내공10
흑흑흑흑
오른쪽
입니다
자
아니
들어
싶습니다
저한테
답답한
부탁해요
죽고싶고
살이
해석좀
사진
울다보면
어려워요
크리스마스
눈물나요
심난하다
짜증나서
책
추
고3
언니
많은
급합니다
울며불며
월
나온
뉴에이지
남친
박하다
이젠
보여주려고
택배
미치도록
동적이고
재미있는
여러
정
여운이
아무이유
일본
할까요
피아노곡
방
울고싶지
너무나도
의미
아파서
이걸
중에
배경음악
안슬픈데
란
주눅들다
속이
싶고
성적
나도
아무이유없이
미안하다사랑한다에서
눈물과
답변좀
땐
돈이
불행하다는
써주세요
큽니다
뜻의
없을까요
내공검
애절하고
있었는데
착잡하다
살
고민
어떻게해야
학교
것도
미칠것
부끄럽다의
왠지
둘째
우리나라
어떻해요
인데
죽겠습니다
아지를
속앓이를
질문이요
너무서러워요
몇
될까요
이야기
